address,balance
0x888897a70cf1a8c1b4ce2f75a452c154fd5d7777,1994450993545435626000
0x888e94917083d152202b53163939869d271175b4,1014168216370247481351
0x8880bb98e7747f73b52a9cfa34dab9a4a06afa38,642441281344958463652
0x888da763dde41cd7a66d153aeb3527a9f7bff02e,538031506980000000000
0x888ce653783b77758246b55a67d4a6c13e0339e1,417406460790000000000
0x8884eb9a4fa34833248f86018197ac1c5c2016f3,350000000000000000000
0x888aa8110f60753fd81fd86ab8d58e7678b8a78c,331459623058835032300
0x8888ad09b08af4fa6eb9939986ab8595d19e539f,286398841612733537458
0x8889d23ec818e545e04156a7618e6149e3db350d,261192009994681789000
0x888155308de9a02bc14a6d73220482adf175445f,251398153459373627718
0x888715cd3f697d1150efce1d5d64daa8f65c4749,250834377807867496506
0x8888be0f827cf612622e3dd6280ce41b38c4f7b0,213440691830000000000
0x8883c3d53905beb3cdbe587fbc9a312aeec9e556,146484040000000000000
0x888e521d4ee8b752266a1da8a0319f47f0226d11,110297521566597871110
0x88806eada41d8b3e659409dcfb6efd9219dccf83,100026225631448163668
0x888888885e260a0588bbbd7ab3239845696d1897,100000000000000000000
0x88819a3c71a27b0027a991eec73d5d9365a7dc60,98913734710730000000
0x88888888ad8a8801aa83d728845e4847bc2cd8be,98735148164533955982
0x8887cdf6c6ff7f3e64c26885e38d930eadba2be1,92926989710000000000
0x888a655beb2d5a2fc4f28f0eba6313b988f7136b,84603000000000000000
0x88888888b0775df61f2ef99f5cf3408a2b4a3ba9,81510421120000000000
0x8887c459b205fc6131a15ecf7246c6a1e992b98c,80000000000000000000
0x88865a77b080936edf5c9b42f7b157cbec197f64,77110256455000000000
0x888dbf9d01d791d3122850f0db0e9e2206fc6d5a,71125908990000000000
0x88891cbaae0b2337df104ef7b9024177415a0d93,70392644750000000000
0x8880835a7efeb1b135e567bbf636c53f12454129,70273871315946666049
0x8889d92ebfde28461483ad86765f4e2d361f9d90,70008449671994047621
0x888e48a41e62c238cf4d32aec25bee7217dd3f4a,66449075423449641000
0x88889778402dcf6cf363bb9ac47f7a2d8e77a2af,60684745719124986045
0x888ea79d37ce8e36262ffd9ff93e1c3bc31e86b7,58653368758798714377
0x88878fbc237e8aa12fd99a06c97d02418183ffd0,58176945132633015423
0x88802cb9dbd4875fde8ebdeff2c1ff1e5a7a9271,54931373636000000000
0x8882ee01224e0574ae3f2d2b5cc7316df8d382e5,50000000000000000000
0x88875e2ca4a051dcc4ead2431abc3d26897e107f,49594639190000000000
0x888e2ebf7eb7dcdfb28fc47f265d3fe14e8105d2,47500000000000000000
0x888c6343b3fc0f6ce52e5ca2d04a9fd749b6e222,47200000000000000000
0x8888b71137a73f80c4b31cb5a7c0a4c425f78c05,46007570950000000000
0x8888e2378c0bb1619500e12122babcbd91dd25b4,41171762396500000000
0x888c0aa237aa41db6cbf87b59eb6af364a64442f,40000000000000000000
0x888f4e9c9348307cc397216e8fd5ec73ee210666,39800000000000000000
0x888954ec68e925945627fcc144d89703b7ee6ac4,39368421130000000000
0x888220efebf852e1fa9ab726849fe45f9ec18a71,33352461990000000000
0x8889ef8ac462c8db735d4713b12d9ceb7adb2a85,33003589455777777777
0x8883b70080ab02f43e78f046e061e25b9b38710d,31223522598259366243
0x888f6ad8ac4d692088dcd6ca27d59f7339c6e98c,30100000000000000000
0x888360ac75bb7548ae8b78bf51d29cfe286d458e,30006236578000000000
0x888c5186f8a3857373dcd1af99e0c002bf4f149f,28689046336006786691
0x8883b11c7cc85ca85279c70c69eccc8d32cbe08a,27745096110000000000
0x88822756ec33b3a18341966c3ab7a201856371d9,27743654090000000000
0x8885224cf8ee256634f628bfef326948faf78ba3,27702519587500000000
0x88810436096cbca24b61c76153d19cfedd0da35b,27681554523500000000
0x8884bbd706f2dc65a955f8c3f46a60ef4163566c,27546279476476788247
0x888d4ea06f129e63ebb7afceb8268ed5d5df5605,27437512215250903727
0x888c03df2792e295b46ec001aeb69fe815f4043f,27204704447069299670
0x8884d08d597bdcda9e75887b59c5cbab044f6666,27100000000000000000
0x888dd7bd8464e2c8f24df46b730c5d87d5aa9a81,25297405847708444125
0x888a837d28dd8aa242727b5a1ee6aa7a6f1cf0a4,25104489600000000000
